name, location, isapk, category, packageName
مبشرات - تفسير الرؤى و الاحلام, https://apkpure.com/tw/%D9%85%D8%A8%D8%B4%D8%B1%D8%A7%D8%AA-%D8%AA%D9%81%D8%B3%D9%8A%D8%B1-%D8%A7%D9%84%D8%B1%D8%A4%D9%89-%D9%88-%D8%A7%D9%84%D8%A7%D8%AD%D9%84%D8%A7%D9%85/com.mubashirat/downloading, xapk, communication-app, com.mubashirat
swype – mobile plan with eSIM, https://apkpure.com/tw/swype-%E2%80%93-mobile-plan-with-esim/ch.swype/downloading, xapk, communication-app, ch.swype
Chadwick Lawrence, https://apkpure.com/tw/chadwick-lawrence/app.uk.co.incase.chadwicklawrence/downloading, xapk, communication-app, app.uk.co.incase.chadwicklawrence
RedLive, https://apkpure.com/tw/redlive/com.sae.redlive.android/downloading, xapk, communication-app, com.sae.redlive.android
Towne Link, https://apkpure.com/tw/towne-link/com.ekocustom.townelink/downloading, xapk, communication-app, com.ekocustom.townelink
Proceed.app, https://apkpure.com/tw/proceed-app/app.proceed.go/downloading, xapk, communication-app, app.proceed.go
IndaiaFibra Móvel, https://apkpure.com/tw/indaiafibra-m%C3%B3vel/app.mobile.indaiafibra/downloading, xapk, communication-app, app.mobile.indaiafibra
T-Talk (TONNET 通航國際), https://apkpure.com/tw/t-talk-tonnet-%E9%80%9A%E8%88%AA%E5%9C%8B%E9%9A%9B/tw.tonnet.talk/downloading, apk, communication-app, tw.tonnet.talk
Jami, https://apkpure.com/tw/jami/cx.ring/downloading, xapk, communication-app, cx.ring
Kabristan Sivas, https://apkpure.com/tw/kabristan-sivas/com.sivas.mezarlik/downloading, xapk, communication-app, com.sivas.mezarlik
Voter Helpline, https://apkpure.com/tw/voter-helpline/com.eci.citizen/downloading, xapk, communication-app, com.eci.citizen
MY MTEL Switzerland, https://apkpure.com/tw/my-mtel-switzerland/ch.mtel.selfcare/downloading, xapk, communication-app, ch.mtel.selfcare
SIC Digital, https://apkpure.com/tw/sic-digital/br.org.congregacao.sicdigital/downloading, xapk, communication-app, br.org.congregacao.sicdigital
來電顯示 - 號碼定位器, https://apkpure.com/tw/caller-id-number-locator/com.droid.caller.id.phone.number.location/downloading, xapk, communication-app, com.droid.caller.id.phone.number.location
TippyTalk Mobile, https://apkpure.com/tw/tippytalk-mobile/io.tippytalk.community/downloading, xapk, communication-app, io.tippytalk.community
Mira - AI头像视频聊天, https://apkpure.com/tw/fun-random-video-chat-mira/ai.mira.videochat/downloading, xapk, communication-app, ai.mira.videochat
aiMail - Al Email Accounts, https://apkpure.com/tw/ai-mail-smart-write-email/com.quickemail.quicklogin.emailonline/downloading, xapk, communication-app, com.quickemail.quicklogin.emailonline
The Junction, https://apkpure.com/tw/the-junction/com.simpplr.cb.ipgmedia/downloading, xapk, communication-app, com.simpplr.cb.ipgmedia
Gogo Skyline, https://apkpure.com/tw/gogo-skyline/com.gogo.businessaviationsip/downloading, xapk, communication-app, com.gogo.businessaviationsip
ConnectUC, https://apkpure.com/tw/connectuc/io.connectuc.android/downloading, xapk, communication-app, io.connectuc.android
ALLUX2 調整アプリ, https://apkpure.com/tw/adjustment-app-for-allux/com.companyname.ALLUXAdjustment/downloading, xapk, communication-app, com.companyname.ALLUXAdjustment
NewLine, https://apkpure.com/tw/newline/com.elitesoft.elitesac.newline/downloading, xapk, communication-app, com.elitesoft.elitesac.newline
Email & Calendar, https://apkpure.com/tw/email-calendar/com.allemail.calendar/downloading, xapk, communication-app, com.allemail.calendar
早安 500000+ 條問候語, https://apkpure.com/tw/good-morning-wishes-10000/com.IdeaDesign.GoodMorningQuotes/downloading, xapk, social-app, com.IdeaDesign.GoodMorningQuotes
Peeks Social, https://apkpure.com/tw/peeks-social/com.keek/downloading, xapk, social-app, com.keek
Ameba－ブログや話題の芸能ニュースを毎日お届け！, https://apkpure.com/tw/ameba/jp.ameba/downloading, xapk, social-app, jp.ameba
Oasis - Advanced Social Media, https://apkpure.com/tw/oasis-3-in-1-social-network/com.oasis.android.app/downloading, xapk, social-app, com.oasis.android.app
OVO X - Live Video Chat, https://apkpure.com/tw/duome-x-live-video-chat/app.duomevideochat.x/downloading, xapk, social-app, app.duomevideochat.x
Facebook Lite, https://apkpure.com/tw/facebook-lite/com.facebook.lite/downloading, apk, social-app, com.facebook.lite
Project-V, https://apkpure.com/tw/project-v/com.sessia/downloading, xapk, social-app, com.sessia
Lowins - Live Video Chat, https://apkpure.com/tw/lowins-live-video-chat/com.lowins.chat/downloading, xapk, social-app, com.lowins.chat
U.n.I - Exclusive Connections, https://apkpure.com/tw/u-n-i-exclusive-connections/com.HBMStudios.U.n.I/downloading, xapk, social-app, com.HBMStudios.U.n.I
دردشة العراق بنات وشباب, https://apkpure.com/tw/%D8%AF%D8%B1%D8%AF%D8%B4%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82-%D8%A8%D9%86%D8%A7%D8%AA-%D9%88%D8%B4%D8%A8%D8%A7%D8%A8/apli3320063.ahy/downloading, xapk, social-app, apli3320063.ahy
Live Chat, https://apkpure.com/tw/live-chat/air.com.flaxbin.freechat/downloading, xapk, social-app, air.com.flaxbin.freechat
WorldTalks, https://apkpure.com/tw/worldtalks/com.zerophil.worldtalks/downloading, xapk, social-app, com.zerophil.worldtalks
دردشة سوريا غلاتي العز, https://apkpure.com/tw/%D8%AF%D8%B1%D8%AF%D8%B4%D8%A9-%D8%A8%D9%86%D8%A7%D8%AA-%D9%88%D8%B4%D8%A8%D8%A7%D8%A8-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7/aplic3308175.myf/downloading, xapk, social-app, aplic3308175.myf
探探 - 同城交友約會軟體, https://apkpure.com/tw/tantan-asian-dating-app/com.p1.mobile.putong/downloading, apk, social-app, com.p1.mobile.putong
XLive - Real video and chat, https://apkpure.com/tw/xlive-real-video-and-chat/com.xlive.app/downloading, xapk, social-app, com.xlive.app
Romantic Love Messages for Her, https://apkpure.com/tw/love-messages-for-girlfriend/com.krishnalela.lovemessagesforgirlfriend/downloading, xapk, social-app, com.krishnalela.lovemessagesforgirlfriend
Hypee: Chat, Connect & Share, https://apkpure.com/tw/hypee-chat-connect-share/com.quitestream.hypee/downloading, xapk, social-app, com.quitestream.hypee
Poopie - Poop Map & Calendar, https://apkpure.com/tw/poopie-poop-map-calendar/com.poopie.app/downloading, xapk, social-app, com.poopie.app
coto: Emotional Wellness app, https://apkpure.com/tw/coto-emotional-wellness-app/world.eve.coto/downloading, xapk, social-app, world.eve.coto
SugarHubLite - Video Chat, https://apkpure.com/tw/sugarhublite-video-chat/com.sugarhublite.videochat/downloading, xapk, social-app, com.sugarhublite.videochat
دردشه مع مجهول عشوائي شات فضفض, https://apkpure.com/tw/%D8%AF%D8%B1%D8%AF%D8%B4%D9%87-%D9%85%D8%B9-%D9%85%D8%AC%D9%87%D9%88%D9%84-%D8%B9%D8%B4%D9%88%D8%A7%D8%A6%D9%8A-%D8%B4%D8%A7%D8%AA-%D9%81%D8%B6%D9%81%D8%B6/ie.tasali.chatstrangers/downloading, xapk, social-app, ie.tasali.chatstrangers
SHAKER - SMM PANEL, https://apkpure.com/tw/shaker-smm-panel/com.shakergainske.app/downloading, xapk, social-app, com.shakergainske.app
Veco-Group Voice Chat Room, https://apkpure.com/tw/veco-group-voice-chat-room/com.vecochat/downloading, xapk, social-app, com.vecochat
Meuf: réseau 100% pour Femmes, https://apkpure.com/tw/meuf-r%C3%A9seau-100-pour-femmes/com.app.meuf/downloading, xapk, social-app, com.app.meuf
Omolink: apps for every taste, https://apkpure.com/tw/omolink-apps-for-every-taste/com.rheanet.dating.kedoya/downloading, apk, social-app, com.rheanet.dating.kedoya
Texting Wingman, https://apkpure.com/tw/texting-wingman/com.wingman.texting_wingman/downloading, xapk, social-app, com.wingman.texting_wingman
Papaya-Live Video Chat, https://apkpure.com/tw/papaya-live-video-chat/com.crroyq.papa/downloading, xapk, social-app, com.crroyq.papa
My Communities, https://apkpure.com/tw/edu-club/com.rigi.educlub/downloading, xapk, social-app, com.rigi.educlub
Nawa Live, https://apkpure.com/tw/nawa-live/com.nw.nawa.voice/downloading, xapk, social-app, com.nw.nawa.voice
